name,url,description,readme_url,last_updated,stars
.emacs.d,https://github.com/hargup/.emacs.d,Emacs configuration (adapted from https://github.com/suvratapte/dot-emacs-dot-d),https://api.github.com/repos/hargup/.emacs.d/contents/README.md,2020-07-27T04:13:42Z,0
2014-app-developer-survey,https://github.com/hargup/2014-app-developer-survey,Code for analysis of CIS's 2014 app developer survey,https://api.github.com/repos/hargup/2014-app-developer-survey/contents/README.md,2017-03-29T12:50:45Z,0
afra,https://github.com/hargup/afra,Genome Annotation for the Masses,https://api.github.com/repos/hargup/afra/contents/README.md,2014-12-28T13:02:16Z,0
ant,https://github.com/hargup/ant,Advanced Numerical Techniques,https://api.github.com/repos/hargup/ant/contents/README.md,2015-04-22T14:50:53Z,1
aosd,https://github.com/hargup/aosd,Amusing OurSelves to Death summary,https://api.github.com/repos/hargup/aosd/contents/README.md,2015-05-06T13:42:50Z,0
app_template_node,https://github.com/hargup/app_template_node,,https://api.github.com/repos/hargup/app_template_node/contents/README.md,2023-06-07T19:06:00Z,1
autocrop,https://github.com/hargup/autocrop,:relieved: Automatically detects and crops faces from batches of pictures.,https://api.github.com/repos/hargup/autocrop/contents/README.md,2023-06-07T19:06:11Z,1
awesome-biology,https://github.com/hargup/awesome-biology,Curated list of resources for Biology.,https://api.github.com/repos/hargup/awesome-biology/contents/README.md,2014-09-19T07:55:11Z,0
awesome-machine-learning,https://github.com/hargup/awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",https://api.github.com/repos/hargup/awesome-machine-learning/contents/README.md,2015-12-25T07:06:58Z,0
awesome-python,https://github.com/hargup/awesome-python,"A curated list of awesome Python frameworks, libraries and software",https://api.github.com/repos/hargup/awesome-python/contents/README.md,2015-10-08T16:54:39Z,0
awesome_tech_intersection_law,https://github.com/hargup/awesome_tech_intersection_law,List of Organizations working on the intersection of Technology and Law,https://api.github.com/repos/hargup/awesome_tech_intersection_law/contents/README.md,2016-09-15T21:24:44Z,0
backstage,https://github.com/hargup/backstage,Backstage is an open platform for building developer portals,https://api.github.com/repos/hargup/backstage/contents/README.md,2023-06-07T19:07:13Z,1
basic-github-bot,https://github.com/hargup/basic-github-bot,,https://api.github.com/repos/hargup/basic-github-bot/contents/README.md,2023-03-25T08:27:27Z,0
bigbang,https://github.com/hargup/bigbang,Scientific analysis of collaborative communities,https://api.github.com/repos/hargup/bigbang/contents/README.md,2016-05-16T06:46:20Z,0
bioinformatics,https://github.com/hargup/bioinformatics,,https://api.github.com/repos/hargup/bioinformatics/contents/README.md,2014-10-08T20:08:12Z,0
bioinformatics-bechmarks,https://github.com/hargup/bioinformatics-bechmarks,,https://api.github.com/repos/hargup/bioinformatics-bechmarks/contents/README.md,2014-10-08T21:16:07Z,0
blog,https://github.com/hargup/blog,,https://api.github.com/repos/hargup/blog/contents/README.md,2014-07-02T09:55:24Z,0
bookmarks,https://github.com/hargup/bookmarks,,https://api.github.com/repos/hargup/bookmarks/contents/README.md,2015-05-17T21:12:23Z,0
chai,https://github.com/hargup/chai,Python tool to help book tickets on the Indian Railways,https://api.github.com/repos/hargup/chai/contents/README.md,2015-04-28T16:42:09Z,1
clean_the_doc,https://github.com/hargup/clean_the_doc,,https://api.github.com/repos/hargup/clean_the_doc/contents/README.md,2022-11-28T16:23:54Z,2
computer_vision,https://github.com/hargup/computer_vision,,https://api.github.com/repos/hargup/computer_vision/contents/README.md,2014-10-19T05:27:50Z,0
conda-build,https://github.com/hargup/conda-build,Commands and tools for building conda packages,https://api.github.com/repos/hargup/conda-build/contents/README.md,2015-05-07T12:19:18Z,0
conda-recipes,https://github.com/hargup/conda-recipes,build and test recipes for conda,https://api.github.com/repos/hargup/conda-recipes/contents/README.md,2021-11-18T10:28:19Z,0
contractx,https://github.com/hargup/contractx,"Notes from edX course ""Contract Law: From Trust to Promise to Contract""",https://api.github.com/repos/hargup/contractx/contents/README.md,2023-12-26T12:48:55Z,0
covidsupport,https://github.com/hargup/covidsupport,,https://api.github.com/repos/hargup/covidsupport/contents/README.md,2021-06-16T20:43:54Z,5
diff_pricing_cp,https://github.com/hargup/diff_pricing_cp,A compilation of responses on Differential Pricing Consultation Paper by TRAI,https://api.github.com/repos/hargup/diff_pricing_cp/contents/README.md,2023-01-28T20:55:24Z,0
django-haystack,https://github.com/hargup/django-haystack,Modular search for Django,https://api.github.com/repos/hargup/django-haystack/contents/README.md,2017-05-30T07:08:10Z,0
do.it,https://github.com/hargup/do.it,Collaborative To-Do list,https://api.github.com/repos/hargup/do.it/contents/README.md,2018-08-06T13:03:16Z,0
docker-diffusers-api,https://github.com/hargup/docker-diffusers-api,"Diffusers / Stable Diffusion in docker with a REST API, supporting various models, pipelines & schedulers.",https://api.github.com/repos/hargup/docker-diffusers-api/contents/README.md,2022-12-06T02:36:16Z,0
dotfiles,https://github.com/hargup/dotfiles,,https://api.github.com/repos/hargup/dotfiles/contents/README.md,2023-01-28T21:08:22Z,0
Dotfiles-other,https://github.com/hargup/Dotfiles-other,A bunch of configuration files for other programs..,https://api.github.com/repos/hargup/Dotfiles-other/contents/README.md,2017-08-19T10:35:34Z,0
Dotfiles-vim,https://github.com/hargup/Dotfiles-vim,The helpful plugin and setting of VIM !,https://api.github.com/repos/hargup/Dotfiles-vim/contents/README.md,2015-03-06T17:07:42Z,0
dynamics_sim,https://github.com/hargup/dynamics_sim,A generic evolutionary game theory simulation library,https://api.github.com/repos/hargup/dynamics_sim/contents/README.md,2015-01-01T08:33:14Z,0
eklavya-ros-pkg,https://github.com/hargup/eklavya-ros-pkg,We are Autonomous Ground Vehicle Research Group of IIT Kharagpur. We are aspiring to compete in the Intelligent Ground Vehicle Competition 2013 with our vehicle - Eklavya,https://api.github.com/repos/hargup/eklavya-ros-pkg/contents/README.md,2013-09-27T05:11:19Z,0
elastdocker,https://github.com/hargup/elastdocker,,https://api.github.com/repos/hargup/elastdocker/contents/README.md,2021-03-23T04:57:49Z,0
eme_diversity_analysis,https://github.com/hargup/eme_diversity_analysis,,https://api.github.com/repos/hargup/eme_diversity_analysis/contents/README.md,2016-07-04T10:40:45Z,0
examples,https://github.com/hargup/examples,Jina examples and demos to help you get started,https://api.github.com/repos/hargup/examples/contents/README.md,2023-06-07T19:06:05Z,1
facepy,https://github.com/hargup/facepy,Facepy makes it really easy to use Facebook's Graph API,https://api.github.com/repos/hargup/facepy/contents/README.md,2016-05-07T18:42:45Z,0
